time,,,,,,,
2.4560000000000017,1594289079.078479,-26276,-3515,5451,1200221,-1204317,610,
2.4600000000000017,1594289079.078522,3318,-5239,5435,7147,-9754,1156,
2.4640000000000017,1594289079.0785658,-7025,-4955,7498,50644,-54283,469,
2.4680000000000017,1594289079.0786204,-73716,-4162,10075,976566,-982102,-119,
2.4720000000000018,1594289079.078666,-128451,-5384,10690,2424346,-2429760,-137,
2.4760000000000018,1594289079.0787196,-27111,-7765,9670,1288411,-1292293,598,
2.4800000000000018,1594289079.0787647,3185,-8989,9153,10396,-12818,1184,
2.4840000000000018,1594289079.0788088,-6830,-8443,11018,55207,-58590,399,
2.4880000000000018,1594289079.0788527,-71901,-7708,13476,961969,-967148,-181,
2.4920000000000018,1594289079.0788975,-123975,-8467,13669,2302921,-2308085,-128,
2.4960000000000018,1594289079.0789428,-26271,-10160,12095,1173298,-1176939,622,
2.5000000000000018,1594289079.0789874,3057,-10946,11132,5354,-7565,1115,
2.504000000000002,1594289079.0790312,-7106,-10017,12562,54353,-57556,428,
2.508000000000002,1594289079.0790756,-72062,-8773,14516,945185,-950296,-161,
2.512000000000002,1594289079.0791347,-125423,-9033,14209,2312265,-2317374,-109,
2.516000000000002,1594289079.079182,-27240,-10314,12244,1234152,-1237755,585,
2.520000000000002,1594289079.079227,3120,-10643,10838,7782,-9980,1145,
2.524000000000002,1594289079.0792754,-6835,-9248,11754,54666,-57913,432,
2.528000000000002,1594289079.0793307,-71100,-7574,13340,979812,-984998,-173,
2.532000000000002,1594289079.0793755,-125981,-7281,12535,2372484,-2377762,-121,
2.536000000000002,1594289079.0794187,-26410,-8252,10140,1226116,-1229889,632,
2.540000000000002,1594289079.0794625,3155,-8210,8376,7337,-9783,1179,
2.544000000000002,1594289079.079506,-6216,-6403,8793,49557,-53041,448,
2.548000000000002,1594289079.0795507,-70042,-4035,9913,929981,-935374,-154,
2.552000000000002,1594289079.0795946,-126359,-3541,8801,2314702,-2320160,-144,
2.556000000000002,1594289079.079651,-26397,-4413,6336,1173395,-1177428,606,
2.560000000000002,1594289079.0796971,3425,-4107,4299,4441,-7131,1175,
2.564000000000002,1594289079.0797393,-6387,-1772,4340,48109,-51911,449,
2.568000000000002,1594289079.0797832,-70690,1451,4566,930081,-935884,-160,
2.572000000000002,1594289079.0798278,-129254,2015,3418,2353272,-2359096,-94,
2.576000000000002,1594289079.0798717,-28321,463,1586,1260731,-1265054,631,
2.580000000000002,1594289079.0799162,3541,237,-22,9215,-12162,1153,
2.584000000000002,1594289079.0799603,-6187,3176,-542,49499,-53586,463,
2.588000000000002,1594289079.0800037,-71070,7023,-1056,904662,-910657,-129,
